Date,CPIAUCSL
2017-11-30,247.78763333333333
2017-12-01,247.805
2017-12-02,247.839
2017-12-03,247.87300000000002
2017-12-04,247.907
2017-12-05,247.941
2017-12-06,247.975
2017-12-07,248.00900000000001
2017-12-08,248.043
2017-12-09,248.077
2017-12-10,248.11100000000002
2017-12-11,248.145
2017-12-12,248.179
2017-12-13,248.213
2017-12-14,248.247
2017-12-15,248.281
2017-12-16,248.315
2017-12-17,248.34900000000002
2017-12-18,248.383
2017-12-19,248.417
2017-12-20,248.45100000000002
2017-12-21,248.485
2017-12-22,248.519
2017-12-23,248.553
2017-12-24,248.58700000000002
2017-12-25,248.621
2017-12-26,248.655
2017-12-27,248.68900000000002
2017-12-28,248.723
2017-12-29,248.757
2017-12-30,248.791
2017-12-31,248.82500000000002
2018-01-01,248.859
2018-01-02,248.88061290322582
2018-01-03,248.9022258064516
2018-01-04,248.92383870967743
2018-01-05,248.94545161290324
2018-01-06,248.96706451612903
2018-01-07,248.98867741935484
2018-01-08,249.01029032258066
2018-01-09,249.03190322580645
2018-01-10,249.05351612903226
2018-01-11,249.07512903225808
2018-01-12,249.09674193548386
2018-01-13,249.11835483870968
2018-01-14,249.1399677419355
2018-01-15,249.16158064516128
2018-01-16,249.1831935483871
2018-01-17,249.2048064516129
2018-01-18,249.22641935483873
2018-01-19,249.2480322580645
2018-01-20,249.26964516129033
2018-01-21,249.29125806451614
2018-01-22,249.31287096774193
2018-01-23,249.33448387096774
2018-01-24,249.35609677419356
2018-01-25,249.37770967741935
2018-01-26,249.39932258064516
2018-01-27,249.42093548387098
2018-01-28,249.44254838709676
2018-01-29,249.46416129032258
2018-01-30,249.4857741935484
2018-01-31,249.50738709677418
2018-02-01,249.529
2018-02-02,249.53071428571428
2018-02-03,249.53242857142857
2018-02-04,249.53414285714285
2018-02-05,249.53585714285714
2018-02-06,249.53757142857143
2018-02-07,249.5392857142857
2018-02-08,249.541
2018-02-09,249.54271428571428
2018-02-10,249.54442857142857
2018-02-11,249.54614285714285
2018-02-12,249.54785714285714
2018-02-13,249.54957142857143
2018-02-14,249.5512857142857
2018-02-15,249.553
2018-02-16,249.55471428571428
2018-02-17,249.55642857142857
2018-02-18,249.55814285714285
2018-02-19,249.55985714285714
2018-02-20,249.56157142857143
2018-02-21,249.5632857142857
2018-02-22,249.565
2018-02-23,249.56671428571428
2018-02-24,249.56842857142857
2018-02-25,249.57014285714286
2018-02-26,249.57185714285714
2018-02-27,249.57357142857143
2018-02-28,249.5752857142857
2018-03-01,249.577
2018-03-02,249.5979677419355
2018-03-03,249.61893548387096
2018-03-04,249.63990322580645
2018-03-05,249.66087096774194
2018-03-06,249.6818387096774
2018-03-07,249.7028064516129
2018-03-08,249.7237741935484
2018-03-09,249.74474193548386
2018-03-10,249.76570967741935
2018-03-11,249.78667741935485
2018-03-12,249.8076451612903
2018-03-13,249.8286129032258
2018-03-14,249.8495806451613
2018-03-15,249.87054838709676
2018-03-16,249.89151612903225
2018-03-17,249.91248387096775
2018-03-18,249.93345161290324
2018-03-19,249.9544193548387
2018-03-20,249.9753870967742
2018-03-21,249.9963548387097
2018-03-22,250.01732258064516
2018-03-23,250.03829032258065
2018-03-24,250.05925806451614
2018-03-25,250.0802258064516
2018-03-26,250.1011935483871
2018-03-27,250.1221612903226
2018-03-28,250.14312903225806
2018-03-29,250.16409677419355
2018-03-30,250.18506451612905
2018-03-31,250.2060322580645
2018-04-01,250.227
2018-04-02,250.24583333333334
2018-04-03,250.26466666666667
2018-04-04,250.2835
2018-04-05,250.30233333333334
2018-04-06,250.32116666666667
2018-04-07,250.34
2018-04-08,250.35883333333334
2018-04-09,250.37766666666667
2018-04-10,250.3965
2018-04-11,250.41533333333334
2018-04-12,250.43416666666667
2018-04-13,250.453
2018-04-14,250.47183333333334
2018-04-15,250.49066666666667
2018-04-16,250.5095
2018-04-17,250.52833333333334
2018-04-18,250.54716666666667
2018-04-19,250.566
2018-04-20,250.58483333333334
2018-04-21,250.60366666666667
2018-04-22,250.6225
2018-04-23,250.64133333333334
2018-04-24,250.66016666666667
2018-04-25,250.679
2018-04-26,250.69783333333334
2018-04-27,250.71666666666667
2018-04-28,250.7355
2018-04-29,250.75433333333334
2018-04-30,250.77316666666667
2018-05-01,250.792
2018-05-02,250.79929032258065
2018-05-03,250.8065806451613
2018-05-04,250.81387096774193
2018-05-05,250.82116129032258
2018-05-06,250.82845161290322
2018-05-07,250.83574193548387
2018-05-08,250.8430322580645
2018-05-09,250.85032258064516
2018-05-10,250.8576129032258
2018-05-11,250.86490322580644
2018-05-12,250.8721935483871
2018-05-13,250.87948387096773
2018-05-14,250.88677419354838
2018-05-15,250.89406451612902
2018-05-16,250.90135483870966
2018-05-17,250.90864516129034
2018-05-18,250.91593548387098
2018-05-19,250.92322580645163
2018-05-20,250.93051612903227
2018-05-21,250.93780645161291
2018-05-22,250.94509677419356
2018-05-23,250.9523870967742
2018-05-24,250.95967741935485
2018-05-25,250.9669677419355
2018-05-26,250.97425806451614
2018-05-27,250.98154838709678
2018-05-28,250.98883870967742
2018-05-29,250.99612903225807
2018-05-30,251.0034193548387
2018-05-31,251.01070967741936
2018-06-01,251.018
2018-06-02,251.02453333333332
2018-06-03,251.03106666666667
2018-06-04,251.0376
2018-06-05,251.04413333333332
2018-06-06,251.05066666666667
2018-06-07,251.0572
2018-06-08,251.06373333333335
2018-06-09,251.07026666666667
2018-06-10,251.0768
2018-06-11,251.08333333333334
2018-06-12,251.08986666666667
2018-06-13,251.0964
2018-06-14,251.10293333333334
2018-06-15,251.10946666666666
2018-06-16,251.11599999999999
2018-06-17,251.12253333333334
2018-06-18,251.12906666666666
2018-06-19,251.1356
2018-06-20,251.14213333333333
2018-06-21,251.14866666666666
2018-06-22,251.1552
2018-06-23,251.16173333333333
2018-06-24,251.16826666666665
2018-06-25,251.1748
2018-06-26,251.18133333333333
2018-06-27,251.18786666666668
2018-06-28,251.1944
2018-06-29,251.20093333333332
2018-06-30,251.20746666666668
2018-07-01,251.214
2018-07-02,251.22848387096775
2018-07-03,251.24296774193547
2018-07-04,251.25745161290322
2018-07-05,251.27193548387098
2018-07-06,251.2864193548387
2018-07-07,251.30090322580645
2018-07-08,251.3153870967742
2018-07-09,251.32987096774193
2018-07-10,251.34435483870968
2018-07-11,251.35883870967743
2018-07-12,251.37332258064515
2018-07-13,251.3878064516129
2018-07-14,251.40229032258065
2018-07-15,251.41677419354838
2018-07-16,251.43125806451613
2018-07-17,251.44574193548388
2018-07-18,251.46022580645163
2018-07-19,251.47470967741936
2018-07-20,251.4891935483871
2018-07-21,251.50367741935486
2018-07-22,251.51816129032258
2018-07-23,251.53264516129033
2018-07-24,251.54712903225808
2018-07-25,251.5616129032258
2018-07-26,251.57609677419356
2018-07-27,251.5905806451613
2018-07-28,251.60506451612903
2018-07-29,251.61954838709678
2018-07-30,251.63403225806454
2018-07-31,251.64851612903226
2018-08-01,251.663
2018-08-02,251.6797419354839
2018-08-03,251.69648387096774
2018-08-04,251.71322580645162
2018-08-05,251.7299677419355
2018-08-06,251.74670967741937
2018-08-07,251.76345161290322
2018-08-08,251.7801935483871
2018-08-09,251.79693548387098
2018-08-10,251.81367741935483
2018-08-11,251.8304193548387
2018-08-12,251.8471612903226
2018-08-13,251.86390322580647
2018-08-14,251.88064516129032
2018-08-15,251.8973870967742
2018-08-16,251.91412903225807
2018-08-17,251.93087096774192
2018-08-18,251.9476129032258
2018-08-19,251.96435483870968
2018-08-20,251.98109677419353
2018-08-21,251.9978387096774
2018-08-22,252.0145806451613
2018-08-23,252.03132258064517
2018-08-24,252.04806451612902
2018-08-25,252.0648064516129
2018-08-26,252.08154838709677
2018-08-27,252.09829032258062
2018-08-28,252.1150322580645
2018-08-29,252.13177419354838
2018-08-30,252.14851612903226
2018-08-31,252.1652580645161
2018-09-01,252.182
2018-09-02,252.20166666666665
2018-09-03,252.22133333333332
2018-09-04,252.24099999999999
2018-09-05,252.26066666666665
2018-09-06,252.28033333333332
2018-09-07,252.29999999999998
2018-09-08,252.31966666666665
2018-09-09,252.33933333333331
2018-09-10,252.35899999999998
2018-09-11,252.37866666666665
