Date,count
2017-07-11,8531.857142857143
2017-07-12,8631.714285714286
2017-07-13,8731.57142857143
2017-07-14,8831.42857142857
2017-07-15,8931.285714285714
2017-07-16,9031.142857142857
2017-07-17,9131.0
2017-07-18,10021.0
2017-07-19,10911.0
2017-07-20,11801.0
2017-07-21,12691.0
2017-07-22,13581.0
2017-07-23,14471.0
2017-07-24,15361.0
2017-07-25,14683.42857142857
2017-07-26,14005.857142857143
2017-07-27,13328.285714285714
2017-07-28,12650.714285714286
2017-07-29,11973.142857142857
2017-07-30,11295.571428571428
2017-07-31,10618.0
2017-08-01,10222.714285714286
2017-08-02,9827.42857142857
2017-08-03,9432.142857142857
2017-08-04,9036.857142857143
2017-08-05,8641.57142857143
2017-08-06,8246.285714285714
2017-08-07,7851.0
2017-08-08,8130.142857142857
